Teks,label
 promo  beli paket flash 1gb my telkomsel app dpt extra kuota 2gb 4g lte extra nelpon 100mnt 1hr  buru  cek tsel me mytsel1 s  k,1
2 5 gb 30 rp 35 ribu spesial pilih  aktif  550  905   promo sd 30 nov 2015 buru aktif  s  k,1
2016-07-08 11 47 11 plg yth  sisa kuota flash 478kb  download mytelkomsel apps http  tsel me tsel utk cek kuota  beli paket flash hub  363 ,1
2016-08-07 11 29 47 plg yth  sisa kuota flash 7160kb  download mytelkomsel apps http  tsel me tsel utk cek kuota  beli paket flash hub  363 ,1
4 5gb 30 rp 55 ribu spesial pilih  aktif  550  907  buru   skb,1
5  ekstra pulsa 50rb dg beli paket internet bulan mytelkomsel utk beli sjk 25aug-25sept  cek detail promo tsel me mytsel1,1
iring dgn tarif rp  0 1 7hr  panjang rp  3190 7hr  hits armada - curi hati  tekan  808  3  1  4  1  ok call  info  100  111,1
eks loh  internetan pake volume ultima 900mb 30hr  hrga rp 35rb  100  471   tarif  lokasi cek tsel me fl,1
aktif iring coboy jr - hebat  tekan  808  7   info  100  111 hits baru noah - engkau  aktif iring nya hp  ketik mg noah02 kirim 808 info  100  111 berkah iring rp 1000 dr yuni shara -  aktif iring nya  tkn  808  1  2  3  ok call  raih thr puluhanjt   henti  unreg 808,1
ambil bonus hari  600   bebas pulsa   dptkan gratis nelpon internetan promo sesuai hobi ,1
henti langgan paket flash  ketik flash  spasi  ya tuju  tunggu sms konfirmasi nonaktif paket,1
langgan paket rp  10000 utk 150 mb 2g 3g  250 mb 3g 90hari  tuju balas flash  spasi  ya kirim 3636 utk lanjut  paket panjang aktif tarif sesuai lokasi  tunggu sms konfirmasi sblm pakai  info zona detail tarif lihat tsel me internet,1
beli paket gampang internetan rp 1250 utk chatting puas  bbm  whatsapp line  1 hari jika tuju balas flash  spasi  ya kirim 3636 utk lanjut tunggu sms konfirmasi sblm pakai info detail tariff lihat tsel me internet,1
terima setting ponsel  ponsel akses internet kirim foto mms  tuju balas pesan  gratis  ketik y ,1
aktif paket bbm gratis laku 30 kali aktivasi  ketik flash  spasi  ya lanjut,1
1 kupon program kartu as biber  beli internet hadiah   cek total kupon maksimal 1x24 jam skrg  100  123   info lengkap hub 188,1
nikmat paket reguler dgn sisa kuota 209715 kb dapat agam paket internet hemat tri  123  3 ,1
daftar layan paket malam  langgan laku isi ulang voucher kenyang download,1
tlh tukar poin 95 poin  tukar poin menang hadih lg g3 32gb  menang tukar poin tinggi s d 30 november 15,1
angpaopoinsenyum  dptkan vchr lottemart 50rb dg tukar 2500poin  normal 5000poin  sd 11feb16  ketik  123  7887  2  5  batas  info  www indosatooredoo com angpao,1
nya eks  internetan pake volume ultima 900mb 30hr  hrga rp 35rb  100  471   tarif  lokasi cek tsel me fl,1
ayam  sayap paha   nasi  perkedel rp  19 545 gratis teh pucuk  tukar sms cfc hasan sadikin  sedia msh  promo  606 ,1
ayo anak medan  beli sticker line pulsa klik http  www telkomsel com linestore nama stickernya  dan medan,1
ayo download axisnet apple play store aktif bronet24jam 5gb 60hr rp44900 bronet24jam 1gb 30hr obor 5gb  00-06  rp18800  info838  ld335,1
ayo download axisnet play apple store aktif bronet24jam 5gb 60hr rp44900 bronet24jam 3gb 60hr obor 10gb  00-06  rp39800  info838  ld307,1
ayo dukung lestari alam indonesia indosat ooredoo wwf-indonesia dg donasi  123  50  nomor indosat ooredoo ,1
ayo kawal manfaat subsidi bbm  kompensasi hak  adu  ketik bbm  spasi  isi pesan  kirim 1708,1
banting harga   internetan dgn kuota 1 5gb 10rb rupiah  paket laku bulan    ketik ya 919 s d 16 desember 2015,1
bebas ekspresi diri paket freedom combo indosat ooredoo  hub  123  www indosatooredoo com freedom,1
bebas pulsa  ambil bonus  600   gratis   dptkan gratis nelpon internetas promo sesuai hobi ,1
beli 1 gratis 1 lychee tea latte flavour yellow truck jl patuha no 29  tukar sms  laku  s  k laku promo  606 ,1
beli 2 gratis 1 beli 1 diskon 25  tiket kampung gajah wonderland bandung s d 31 mei 2013 tunjuk sms kpd tugas info  www indosat com kampunggajah,1
beli 6 gratis 6 donut dunkin donuts borma setiabudhi  tukar sms  laku  sedia  promo  606 ,1
beli paket turbo 50rb utk beli mytelkomsel app sjk 25aug - 25sept dpt extra pulsa tsel rp 50rb loh  cek detail paket tsel me mytsel1,1
internetan 1 5gb 20rb  paket laku 90    ketik ya 919 tawar laku s d 8 januari 2016,1
bonus kuota 500mb  1hr   isi ulang min  5 000  ayo buru isi pulsa  t514,1
bonus pulsa 10rb  ayo isi pulsa min  5rb  dapetkan bonus pulsa 10rb utk nelp nmr tri   ayo buru isi pulsa  t530,1
bonus pulsa 50  indosat ooredoo    ketik  345  call hp 28 april 2016,1
bonus pulsa 50rb dgn isi ulang 25rb   hny indosat yg  tawar laku s d 11 april 2016 bonus 1x utk indosat ooredoo,1
bonus pulsa rp 100 rb    spesial langgan setia indosat ooredo hanya isi ulang rp150rb skrg  tawar laku s d 13 jan 2016  bonus 1x ,1
bonus rp  5 000  kirim sms 2x bonus  khusus  t483,1
bonus rp  5 000  telpon teman 2 menit bonus  khusus  a010,1
bukti hemat pakai argo bandung grabcar 20   hayu aja rencang sareng buktikeun nyalira ,1
buru download  registrasi mycare http  bit ly mycareply dapat promo 10gb  4g  paket freedoom m  l harga khusus ,1
butuh piknik  nih libur gratis hongkong   pake pulsa axis hp androidmu transaksi sebanyak2nya items pokemon go  bigo  coc  dll  info838 ld328,1
buy 2 get 3 tiket trans studio bandung  14 mei-14juni 2013 tunjuk sms tugas lokasi  info  www indosat com transstudiobgd,1
rp 7500 nelpon sms unlimited indosat ooredoo internetan puas 3 paket ramadhan unlimited  ketik  123  88 ,1
dapat bonus pulsa hg 50rb isi ulang minggu  isi ulang dr 10rb  ktk  gratis krm 123 pandu  ketik pan krm ke123  cek bonus tekan  555  3 ,1
dapat bonus sms  dg kirim sms  bonus ratus sms operator  pakai indosat ooredoo  raih bebas komunikasi,1
